id,scientificName
CASTYPE11396,Eulonchopria oaxacana
CASTYPE13124,Chilicola andina
CASTYPE13125,Chilicola michelbacheri
CASTYPE13126,Chilicola hahni
CASTYPE13523,Caupolicana wilsoni
CASTYPE14558,Perdita hirticeps
CASTYPE14697,Perdita scitula
CASTYPE14806,Centris californica
CASTYPE14807,Centris rhodomelas
CASTYPE14883,Colletes cercidii
CASTYPE14885,Colletes covilleae
CASTYPE14886,Colletes disseptus
CASTYPE14887,Colletes eriogoni
CASTYPE14888,Colletes hyalinus oregonensis
CASTYPE14889,Colletes larreae
CASTYPE14890,Colletes laticinctus
CASTYPE14891,Colletes linsleyi
CASTYPE14893,Colletes monticola pinorum
CASTYPE14896,Colletes paniscus sculleni
CASTYPE14897,Colletes rudis
CASTYPE14898,Colletes sphaeralceae
CASTYPE14899,Colletes stepheni
CASTYPE14900,Colletes tectiventris
CASTYPE14901,Colletes turgiventris
CASTYPE14902,Colletes xerophilus
CASTYPE14904,Ptiloglossa arizonensis
CASTYPE14905,Ptiloglossa jonesi
CASTYPE1502,Agapostemon angelicus
CASTYPE1503,Agapostemon proscriptellus
CASTYPE1504,Agapostemon purpureopictus
CASTYPE1506,Agapostemon cyanozonus
CASTYPE1509,Nomia howardi vanduzeei
CASTYPE15189,Centris gelida
CASTYPE15373,Andrena portosanctana
CASTYPE15416,Panurginus labrosiformis distractus
CASTYPE15450,Perdita stottleri
CASTYPE15451,Perdita stottleri
CASTYPE15452,Perdita subtristis
CASTYPE15453,Perdita tortifoliae
CASTYPE15454,Perdita townsendi
CASTYPE15455,Perdita tropicalis
CASTYPE15456,Perdita verbesinae
CASTYPE15457,Perdita vierecki
CASTYPE15458,Perdita wilmattae
CASTYPE15459,Perdita xanthismae
CASTYPE1545,Halictus vanduzeei
CASTYPE15460,Psaenythia thoracica
CASTYPE15461,Pseudopanurgus pectidellus
CASTYPE15462,Spinoliella euxantha
CASTYPE15463,Anthophora abruptella
CASTYPE15464,Anthophora anstrutheri
CASTYPE15465,Anthophora arthuri
CASTYPE15467,Anthophora curta petrophila
CASTYPE15468,Anthophora euops
CASTYPE1546,Halictus chionocephalus
CASTYPE15471,Anthophora tarsata subtarsata
CASTYPE15472,Anthophora usticauda
CASTYPE15474,Centris hoffmanseggiae davidsoni
CASTYPE15475,Diadasia afflictula
CASTYPE15476,Diadasia crassicauda
CASTYPE15477,Diadasia laticauda
CASTYPE15478,Diadasia nitidifrons
CASTYPE15479,Diadasia skinneri
CASTYPE15485,Entechnia grisella
CASTYPE15559,Colletes algarobiae
CASTYPE15560,Colletes andrewsi
CASTYPE15561,Colletes angelicus
CASTYPE15562,Colletes cauponarius
CASTYPE15640,Chelostoma jacintanum
CASTYPE15641,Chelostomoides pratti
CASTYPE15642,Dioxys catalinensis
CASTYPE15643,Dioxys phaceliae
CASTYPE15644,Heriades sauteri
CASTYPE15645,Heriades sauteri philippinensis
CASTYPE15646,Hoplitis hicksi
CASTYPE15647,Megachile anograe
CASTYPE15648,Megachile bishoppi
CASTYPE15649,Megachile chilopsidis
CASTYPE1564,Osmia visenda
CASTYPE15651,Megachile disparipennis
CASTYPE15653,Megachile onobrychidis
CASTYPE15654,Megachile opuntiarum
CASTYPE15655,Megachile populi
CASTYPE15656,Megachile semiexilis
CASTYPE15657,Megachile sidalceae
CASTYPE15658,Megachile soledadensis
CASTYPE15659,Megachile townsendiana
CASTYPE1565,Osmia pellax
CASTYPE15677,Osmia wheeleri
CASTYPE1650,Halictus pavonotus
CASTYPE1651,Halictus aspilurus
CASTYPE1652,Agapostemon texanus vandykei
CASTYPE1659,Halictoides holocyaneus
CASTYPE16607,Rhopalolemma robertsi
CASTYPE1660,Halictoides spilurus
CASTYPE2387,Colletes kobensis
CASTYPE2461,Agapostemon martini
CASTYPE2462,Agapostemon epichryseus
CASTYPE262,Megacilissa thoracica
CASTYPE263,Panurgus manifestus
CASTYPE264,Panurgus manifestus
CASTYPE265,Panurgus halictoides
CASTYPE266,Calliopsis margaritensis
CASTYPE267,Calliopsis margaritensis
CASTYPE4199,Halictus sequoiae
CASTYPE4200,Halictus humboldtensis
CASTYPE4201,Halictus mendocinensis
CASTYPE4202,Halictus marinensis
CASTYPE4272,Halictus allonotus
CASTYPE6628,Colletes solitarius
CASTYPE6629,Colletes vandykei
CASTYPE8760,Osmia mixta
CASTYPE8763,Osmia potentillae
CASTYPE8765,Osmia sequoiae
CASTYPE8766,Osmia tokopahensis
CASTYPE931,Centris vanduzeei
CASTYPE932,Centris rhodoleuca
CASTYPE933,Centris cockerelli resoluta
CASTYPE934,Centris pallida callognatha
CASTYPE935,Centris tiburonensis
CASTYPE9540,Hylaeus insolitus
CASTYPE955,Perdita exclamans
